Variable,dist,a,b,c
fates_leaf_stomatal_slope_ballberry,uniform,5,12,
fates_leaf_vcmax25top,uniform,37.8,79.76337891,
fates_leaf_slatop,uniform,0.08224,0.01,
fates_nonhydro_smpsc,uniform,-331500,-178500,
fates_nonhydro_smpso,uniform,-65800,-26200,
fates_base_mr_20,uniform,1.76E-06,2.33E-06,
fates_allom_d2bl1,uniform,0.03,0.06,
fates_allom_d2bl2,uniform,1.2,2.23,
fates_allom_agb2,uniform,0.47,0.089,
fates_allom_agb3,uniform,1.23,2.29,
fates_allom_d2h1,uniform,0.054,1.01,
fates_allom_d2h2,uniform,0.28,0.52,
fates_allom_dbh_maxheight,uniform,1.3,2.47,
fates_recruit_height_min,uniform,0.56,1.04,
fates_allom_d2ca_coefficient_min,uniform,0.0521655,0.070699,
fates_allom_d2ca_coefficient_max,uniform,0.10821655,0.15699,
fates_alloc_store_priority_frac,uniform,0.689130859,1,
fates_alloc_storage_cushion,uniform,5,10,
fates_recruit_seed_alloc,uniform,0.095874023,0.178051758,
fates_grperc,uniform,0.057562012,0.106900879,
fates_mort_scalar_hydrfailure,uniform,0,0,
fates_mort_scalar_cstarvation,uniform,0.0005,0.005,
fates_mort_scalar_coldstress,uniform,0.000001,0.000005,
fates_mort_bmort,uniform,0.00005,0.0005,
fates_mort_hf_sm_threshold,uniform,8.60E-07,1.60E-06,
fates_mort_freezetol,uniform,-70,-38,
fates_frag_seed_decay_rate,uniform,0.05,0.333766113,
fates_recruit_seed_germination_rate,uniform,0.315649414,0.586206055,
fates_recruit_seed_supplement,uniform,0.028967285,0.053796387,
fates_recruit_init_density,uniform,0.085791016,0.159326172,
fates_phen_chilltemp,uniform,-0.590332031,-0.317871094,
fates_phen_gddthresh_c,uniform,-0.01207959,-0.006504395,
fates_phen_mindaysoff,uniform,70,130,
fates_phen_coldtemp,uniform,1,10,
fates_phen_ncolddayslim,uniform,3,10,
fates_recruit_seed_alloc_mature,uniform,0.098,0.182,
fates_allom_d2bl3,uniform,0.385,0.715,
fates_leaf_stomatal_slope_ballberry,uniform,5,10,
fates_leaf_vcmax25top,uniform,80,160,
fates_leaf_slatop,uniform,0.0189,0.045,
fates_nonhydro_smpsc,uniform,-331500,-178500,
fates_nonhydro_smpso,uniform,-65800,-26200,
fates_base_mr_20,uniform,0.000001771,2.16E-06,
fates_allom_d2bl1,uniform,0.00028,0.0005,
fates_allom_d2bl2,uniform,1.20237306,2.2,
fates_allom_agb2,uniform,1.17,2.16,
fates_allom_agb3,uniform,0.8,1.6,
fates_allom_d2h1,uniform,0.02,0.135,
fates_allom_d2h2,uniform,0.44,0.82,
fates_allom_dbh_maxheight,uniform,14,26,
fates_recruit_height_min,uniform,0.05,0.21377,
fates_allom_d2ca_coefficient_min,uniform,0.00121655,0.0050699,
fates_allom_d2ca_coefficient_max,uniform,0.002221655,0.0070699,
fates_alloc_store_priority_frac,uniform,0.42,1,
fates_alloc_storage_cushion,uniform,5,10,
fates_recruit_seed_alloc,uniform,0.07,0.178051758,
fates_grperc,uniform,0.077,0.106900879,
fates_mort_scalar_hydrfailure,uniform,0,0,
fates_mort_scalar_cstarvation,uniform,0.005,0.05,
fates_mort_scalar_coldstress,uniform,0.000001,0.000005,
fates_mort_bmort,uniform,0.00005,0.0005,
fates_mort_hf_sm_threshold,uniform,0.0000007,1.60E-06,
fates_mort_freezetol,uniform,-70,-38,
fates_frag_seed_decay_rate,uniform,0.322,0.333766113,
fates_recruit_seed_germination_rate,uniform,0.343,0.586206055,
fates_recruit_seed_supplement,uniform,0.035,0.053796387,
fates_recruit_init_density,uniform,0.14,0.159326172,
fates_phen_chilltemp,uniform,3.5,-0.317871094,
fates_phen_gddthresh_c,uniform,-0.013,-0.006504395,
fates_phen_mindaysoff,uniform,70,130,
fates_phen_coldtemp,uniform,5.25,10,
fates_phen_ncolddayslim,uniform,3.5,10,
fates_recruit_seed_alloc_mature,uniform,0.07,0.182,
fates_allom_d2bl3,uniform,0.385,0.715,
