parameter0,parameter,ID,pft.start,pft.end,org.start,org.end,scale,shift,reverse.flag,reciprocal.flag,conversion.flag,conversion.lower,conversion.upper
fates_leaf_stomatal_slope_ballberry,fates_leaf_stomatal_slope_ballberry,1,1,1,0,0,1,0,0,0,0,0,0
fates_leaf_vcmax25top,fates_leaf_vcmax25top,2,1,1,0,0,1,0,0,0,0,0,0
fates_leaf_slatop,fates_leaf_slatop,3,1,1,0,0,1,0,0,0,0,0,0
fates_nonhydro_smpsc,fates_nonhydro_smpsc,4,1,1,0,0,1,0,0,0,0,0,0
fates_nonhydro_smpso,fates_nonhydro_smpso,5,1,1,0,0,1,0,0,0,0,0,0
fates_base_mr_20,fates_base_mr_20,6,1,1,0,0,1,0,0,0,0,0,0
fates_allom_d2bl1,fates_allom_d2bl1,7,1,1,0,0,1,0,0,0,0,0,0
fates_allom_d2bl2,fates_allom_d2bl2,8,1,1,0,0,1,0,0,0,0,0,0
fates_allom_agb2,fates_allom_agb2,9,1,1,0,0,1,0,0,0,0,0,0
fates_allom_agb3,fates_allom_agb3,10,1,1,0,0,1,0,0,0,0,0,0
fates_allom_d2h1,fates_allom_d2h1,11,1,1,0,0,1,0,0,0,0,0,0
fates_allom_d2h2,fates_allom_d2h2,12,1,1,0,0,1,0,0,0,0,0,0
fates_allom_dbh_maxheight,fates_allom_dbh_maxheight,13,1,1,0,0,1,0,0,0,0,0,0
fates_recruit_height_min,fates_recruit_height_min,14,1,1,0,0,1,0,0,0,0,0,0
fates_allom_d2ca_coefficient_min,fates_allom_d2ca_coefficient_min,15,1,1,0,0,1,0,0,0,0,0,0
fates_allom_d2ca_coefficient_max,fates_allom_d2ca_coefficient_max,16,1,1,0,0,1,0,0,0,0,0,0
fates_alloc_store_priority_frac,fates_alloc_store_priority_frac,17,1,1,0,0,1,0,0,0,0,0,0
fates_alloc_storage_cushion,fates_alloc_storage_cushion,18,1,1,0,0,1,0,0,0,0,0,0
fates_recruit_seed_alloc,fates_recruit_seed_alloc,19,1,1,0,0,1,0,0,0,0,0,0
fates_grperc,fates_grperc,20,1,1,0,0,1,0,0,0,0,0,0
fates_mort_scalar_hydrfailure,fates_mort_scalar_hydrfailure,21,1,1,0,0,1,0,0,0,0,0,0
fates_mort_scalar_cstarvation,fates_mort_scalar_cstarvation,22,1,1,0,0,1,0,0,0,0,0,0
fates_mort_scalar_coldstress,fates_mort_scalar_coldstress,23,1,1,0,0,1,0,0,0,0,0,0
fates_mort_bmort,fates_mort_bmort,24,1,1,0,0,1,0,0,0,0,0,0
fates_mort_hf_sm_threshold,fates_mort_hf_sm_threshold,25,1,1,0,0,1,0,0,0,0,0,0
fates_mort_freezetol,fates_mort_freezetol,26,1,1,0,0,1,0,0,0,0,0,0
fates_frag_seed_decay_rate,fates_frag_seed_decay_rate,27,1,1,0,0,1,0,0,0,0,0,0
fates_recruit_seed_germination_rate,fates_recruit_seed_germination_rate,28,1,1,0,0,1,0,0,0,0,0,0
fates_recruit_seed_supplement,fates_recruit_seed_supplement,29,1,1,0,0,1,0,0,0,0,0,0
fates_recruit_init_density,fates_recruit_init_density,30,1,1,0,0,1,0,0,0,0,0,0
fates_phen_chilltemp,fates_phen_chilltemp,31,1,1,0,0,1,0,0,0,0,0,0
fates_phen_gddthresh_c,fates_phen_gddthresh_c,32,1,1,0,0,1,0,0,0,0,0,0
fates_phen_mindaysoff,fates_phen_mindaysoff,33,1,1,0,0,1,0,0,0,0,0,0
fates_phen_coldtemp,fates_phen_coldtemp,34,1,1,0,0,1,0,0,0,0,0,0
fates_phen_ncolddayslim,fates_phen_ncolddayslim,35,1,1,0,0,1,0,0,0,0,0,0
fates_recruit_seed_alloc_mature,fates_recruit_seed_alloc_mature,36,1,1,0,0,1,0,0,0,0,0,0
