,Date,obs,error,Set
0,2003-01-01,8.98261769354839,0.1,MonthlyGPP
1,2004-01-01,10.226994348387096,0.1,MonthlyGPP
2,2005-01-01,10.406814090322582,0.1,MonthlyGPP
3,2006-01-01,10.011909022580644,0.1,MonthlyGPP
4,2007-01-01,9.94398973548387,0.1,MonthlyGPP
5,2008-01-01,9.854925458064516,0.1,MonthlyGPP
6,2009-01-01,10.240289496774196,0.1,MonthlyGPP
7,2010-01-01,9.705265667741934,0.1,MonthlyGPP
8,2011-01-01,10.386029861290323,0.1,MonthlyGPP
9,2012-01-01,10.4970168483871,0.1,MonthlyGPP
10,2013-01-01,10.37408934516129,0.1,MonthlyGPP
11,2014-01-01,10.520655600000001,0.1,MonthlyGPP
12,2015-01-01,10.266687858064516,0.1,MonthlyGPP
13,2016-01-01,10.019433187096775,0.1,MonthlyGPP
14,2017-01-01,10.0106185,0.1,MonthlyGPP
15,2003-02-01,9.816765821428573,0.1,MonthlyGPP
16,2004-02-01,9.7598348,0.1,MonthlyGPP
17,2005-02-01,10.380543335714286,0.1,MonthlyGPP
18,2006-02-01,10.122115478571429,0.1,MonthlyGPP
19,2007-02-01,10.318978460714286,0.1,MonthlyGPP
20,2008-02-01,10.237043614285717,0.1,MonthlyGPP
21,2009-02-01,10.362241342857143,0.1,MonthlyGPP
22,2010-02-01,9.39800307142857,0.1,MonthlyGPP
23,2011-02-01,10.144643232142856,0.1,MonthlyGPP
24,2012-02-01,10.624783642857139,0.1,MonthlyGPP
25,2013-02-01,10.480244060714284,0.1,MonthlyGPP
26,2014-02-01,10.312745575000001,0.1,MonthlyGPP
27,2015-02-01,10.486143925000002,0.1,MonthlyGPP
28,2016-02-01,10.268480289285714,0.1,MonthlyGPP
29,2003-03-01,9.502706548387101,0.1,MonthlyGPP
30,2004-03-01,10.198971777419354,0.1,MonthlyGPP
31,2005-03-01,9.998466925806447,0.1,MonthlyGPP
32,2006-03-01,10.114329270967742,0.1,MonthlyGPP
33,2007-03-01,10.129695148387098,0.1,MonthlyGPP
34,2008-03-01,9.761907661290323,0.1,MonthlyGPP
35,2009-03-01,10.259664077419353,0.1,MonthlyGPP
36,2010-03-01,9.654888361290324,0.1,MonthlyGPP
37,2011-03-01,10.203034993548387,0.1,MonthlyGPP
38,2012-03-01,10.752369016129034,0.1,MonthlyGPP
39,2013-03-01,10.433621522580644,0.1,MonthlyGPP
40,2014-03-01,10.213781119354836,0.1,MonthlyGPP
41,2015-03-01,10.367055287096774,0.1,MonthlyGPP
42,2016-03-01,10.192727761290321,0.1,MonthlyGPP
43,2003-04-01,9.65644452,0.1,MonthlyGPP
44,2004-04-01,10.220752459999998,0.1,MonthlyGPP
45,2005-04-01,10.097255466666667,0.1,MonthlyGPP
46,2006-04-01,10.563756219999997,0.1,MonthlyGPP
47,2007-04-01,9.657757600000002,0.1,MonthlyGPP
48,2008-04-01,9.747062543333334,0.1,MonthlyGPP
49,2009-04-01,9.826791913333334,0.1,MonthlyGPP
50,2010-04-01,9.371075853333336,0.1,MonthlyGPP
51,2011-04-01,10.033690933333334,0.1,MonthlyGPP
52,2012-04-01,10.190513873333337,0.1,MonthlyGPP
53,2013-04-01,10.409085883333331,0.1,MonthlyGPP
54,2014-04-01,10.184548523333333,0.1,MonthlyGPP
55,2015-04-01,10.41633798,0.1,MonthlyGPP
56,2016-04-01,9.901419120000002,0.1,MonthlyGPP
57,2003-05-01,9.360310116129034,0.1,MonthlyGPP
58,2004-05-01,10.003714193548387,0.1,MonthlyGPP
59,2005-05-01,9.74350632580645,0.1,MonthlyGPP
60,2006-05-01,10.104946090322581,0.1,MonthlyGPP
61,2007-05-01,9.66289891612903,0.1,MonthlyGPP
62,2008-05-01,9.986395606451612,0.1,MonthlyGPP
63,2009-05-01,10.781280261290322,0.1,MonthlyGPP
64,2010-05-01,9.469794477419354,0.1,MonthlyGPP
65,2011-05-01,9.78758785483871,0.1,MonthlyGPP
66,2012-05-01,10.24008978387097,0.1,MonthlyGPP
67,2013-05-01,10.267292041935487,0.1,MonthlyGPP
68,2014-05-01,10.538866248387096,0.1,MonthlyGPP
69,2015-05-01,10.100081112903226,0.1,MonthlyGPP
70,2016-05-01,9.766709341935483,0.1,MonthlyGPP
71,2003-06-01,9.92536879,0.1,MonthlyGPP
72,2004-06-01,9.986041753333335,0.1,MonthlyGPP
73,2005-06-01,10.021674553333334,0.1,MonthlyGPP
74,2006-06-01,10.065077290000001,0.1,MonthlyGPP
75,2007-06-01,9.661710866666665,0.1,MonthlyGPP
76,2008-06-01,9.795847123333331,0.1,MonthlyGPP
77,2009-06-01,9.792492236666668,0.1,MonthlyGPP
78,2010-06-01,9.67792728,0.1,MonthlyGPP
79,2011-06-01,9.737118426666667,0.1,MonthlyGPP
80,2012-06-01,10.136221330000001,0.1,MonthlyGPP
81,2013-06-01,10.095066166666664,0.1,MonthlyGPP
82,2014-06-01,9.708397020000003,0.1,MonthlyGPP
83,2015-06-01,10.199438436666664,0.1,MonthlyGPP
84,2016-06-01,10.063586893333335,0.1,MonthlyGPP
85,2003-07-01,9.640458612903226,0.1,MonthlyGPP
